,keyword,score
0,bitcoin,0.3056145918845794
1,bitcoins,0.3056145918845794
2,com,0.2681507943756454
4,http,0.2521004158533289
3,https,0.2521004158533289
5,blockchains,0.20551544489761667
6,transaction,0.18076740290348348
7,block,0.18064063462891175
8,blocks,0.18064063462891175
9,transactions cryptocurrencies,0.16668859098666
10,week,0.15418041720771294
11,cryptocurrency,0.15260977906983653
12,distributed,0.14968115378538546
13,blockchain fundamentals,0.14403733607725114
15,mined,0.11778285845432118
